dia,open,last,close,symbol,exchange,weekday,high_max,low_min,volume_sum,spline,date
2020-06-01 00:00:00+00:00,249.41,247.29,248.48,HD,IEXG,Monday,249.78,245.87,3476747.0,0,2020-06-01
2020-06-02 00:00:00+00:00,248.485,250.125,247.29,HD,IEXG,Tuesday,251.24,247.2,2200452.0,0,2020-06-02
2020-06-03 00:00:00+00:00,248.74010161708438,249.90699505530486,249.29888325630168,HD,IEXG,Wednesday,251.7646940119989,247.35262693107416,7498216.578042093,1,2020-06-03
2020-06-04 00:00:00+00:00,249.77,248.95,251.0,HD,IEXG,Thursday,252.173,247.47,18768184.0,0,2020-06-04
2020-06-05 00:00:00+00:00,252.34,254.9,248.95,HD,IEXG,Friday,255.85,250.38,26564499.0,0,2020-06-05
2020-06-08 00:00:00+00:00,252.49,256.77,254.9,HD,IEXG,Monday,256.81,252.26,9433018.0,0,2020-06-08
2020-06-09 00:00:00+00:00,255.33,256.76,256.77,HD,IEXG,Tuesday,258.29,253.86,10693645.0,0,2020-06-09
2020-06-10 00:00:00+00:00,248.0281352725668,252.2886236141281,256.2610297846841,HD,IEXG,Wednesday,252.7965878842741,248.299053637292,21949233.33259729,1,2020-06-10
2020-06-11 00:00:00+00:00,239.54624347342303,244.8253579989216,251.22024797997489,HD,IEXG,Thursday,245.42177631899045,240.1908918482299,32255854.99877455,1,2020-06-11
2020-06-12 00:00:00+00:00,234.30777934628682,239.59418047382286,245.3291673666715,HD,IEXG,Friday,240.41638700505558,233.9697171083114,34996089.30362158,1,2020-06-12
2020-06-15 00:00:00+00:00,237.62,241.36,242.45,HD,IEXG,Monday,242.2199,234.31,23552516.0,0,2020-06-15
2020-06-16 00:00:00+00:00,249.4,249.95,241.36,HD,IEXG,Tuesday,251.65,242.87,5366480.0,0,2020-06-16
2020-06-17 00:00:00+00:00,252.77,250.85,249.95,HD,IEXG,Wednesday,254.62,250.08,13375757.0,0,2020-06-17
2020-06-18 00:00:00+00:00,249.36,249.21,250.85,HD,IEXG,Thursday,251.75,247.13,9617178.0,0,2020-06-18
2020-06-19 00:00:00+00:00,253.1,246.65,249.21,HD,IEXG,Friday,254.3,246.38,30633200.0,0,2020-06-19
2020-06-22 00:00:00+00:00,245.7,249.16,246.65,HD,IEXG,Monday,250.06,245.51,13640794.0,0,2020-06-22
2020-06-23 00:00:00+00:00,253.0,250.31,249.16,HD,IEXG,Tuesday,253.44,250.13,12679127.0,0,2020-06-23
2020-06-24 00:00:00+00:00,247.81,246.13,250.31,HD,IEXG,Wednesday,250.2873,242.73,11303610.0,0,2020-06-24
2020-06-25 00:00:00+00:00,244.8,245.38,246.13,HD,IEXG,Thursday,246.35,242.2,19307470.0,0,2020-06-25
2020-06-26 00:00:00+00:00,245.35,241.01,245.38,HD,IEXG,Friday,246.1,240.25,14632400.0,0,2020-06-26
2020-06-29 00:00:00+00:00,242.66,246.12,241.01,HD,IEXG,Monday,246.5,240.3401,13916753.0,0,2020-06-29
2020-06-30 00:00:00+00:00,247.0,250.51,246.12,HD,IEXG,Tuesday,251.65,246.09,10860289.0,0,2020-06-30
2020-07-01 00:00:00+00:00,249.65,248.15,250.51,HD,IEXG,Wednesday,250.3295,246.93,24150778.0,0,2020-07-01
2020-07-02 00:00:00+00:00,251.94,248.5,248.15,HD,IEXG,Thursday,252.3,247.92,17599913.0,0,2020-07-02
2020-07-03 00:00:00+00:00,251.32541700237562,248.08053093439582,248.82709210742297,HD,IEXG,Friday,251.61118477660423,247.8876762149109,11962203.691319512,1,2020-07-03
2020-07-06 00:00:00+00:00,250.27,249.55,248.5,HD,IEXG,Monday,251.5,247.04,11565406.0,0,2020-07-06
2020-07-07 00:00:00+00:00,247.37,247.35,249.55,HD,IEXG,Tuesday,250.83,247.07,10746846.0,0,2020-07-07
2020-07-08 00:00:00+00:00,247.87,249.17,247.35,HD,IEXG,Wednesday,249.78,246.22,8483834.0,0,2020-07-08
2020-07-09 00:00:00+00:00,249.66,247.96,249.17,HD,IEXG,Thursday,250.51,246.35,15346940.0,0,2020-07-09
2020-07-10 00:00:00+00:00,248.29,250.11,247.96,HD,IEXG,Friday,250.33,246.64,15581669.0,0,2020-07-10
2020-07-13 00:00:00+00:00,251.92,249.62,250.11,HD,IEXG,Monday,257.86,249.09,20404607.0,0,2020-07-13
