date,HD,MCD,NKE
2020-06-01 00:00:00+00:00,248.48,186.32,98.58
2020-06-02 00:00:00+00:00,247.29,187.41,100.73
2020-06-03 00:00:00+00:00,249.29888325630168,190.46962425706496,104.14
2020-06-04 00:00:00+00:00,251.0,193.29,104.11
2020-06-05 00:00:00+00:00,248.95,193.24,101.28
2020-06-08 00:00:00+00:00,254.9,197.16,102.71
2020-06-09 00:00:00+00:00,256.77,202.65,104.29
2020-06-10 00:00:00+00:00,256.2610297846841,195.38425278355203,102.17
2020-06-11 00:00:00+00:00,251.22024797997489,187.455,95.15
2020-06-12 00:00:00+00:00,245.3291673666715,189.055,96.47
2020-06-15 00:00:00+00:00,242.45,189.48,96.43
2020-06-16 00:00:00+00:00,241.36,190.41,97.84
2020-06-17 00:00:00+00:00,249.95,190.32,99.04
2020-06-18 00:00:00+00:00,250.85,190.79,99.21
2020-06-19 00:00:00+00:00,249.21,189.49,98.45
2020-06-22 00:00:00+00:00,246.65,186.56,95.78
2020-06-23 00:00:00+00:00,249.16,187.46,99.51
2020-06-24 00:00:00+00:00,250.31,186.62,101.92
2020-06-25 00:00:00+00:00,246.13,184.29,100.08
2020-06-26 00:00:00+00:00,245.38,182.76,101.4
2020-06-29 00:00:00+00:00,241.01,179.74,93.67
2020-06-30 00:00:00+00:00,246.12,182.8,95.87
2020-07-01 00:00:00+00:00,250.51,184.47,98.05
2020-07-02 00:00:00+00:00,248.15,184.66,97.4
2020-07-03 00:00:00+00:00,248.82709210742297,184.5838560314809,98.76758190703094
2020-07-06 00:00:00+00:00,248.5,183.52,98.43
2020-07-07 00:00:00+00:00,249.55,188.5,99.95
2020-07-08 00:00:00+00:00,247.35,185.82,97.07
2020-07-09 00:00:00+00:00,249.17,185.85,98.84
2020-07-10 00:00:00+00:00,247.96,184.33,96.99
2020-07-13 00:00:00+00:00,250.11,184.88,97.99
2020-07-14 00:00:00+00:00,249.62,184.92,96.46
2020-07-15 00:00:00+00:00,257.79,190.72,96.76
2020-07-16 00:00:00+00:00,257.8,191.77,98.54
2020-07-17 00:00:00+00:00,258.08,190.92,97.26
2020-07-20 00:00:00+00:00,260.38,191.48,96.28
2020-07-21 00:00:00+00:00,260.17,191.61,95.65
2020-07-22 00:00:00+00:00,262.42,192.98,98.36
2020-07-23 00:00:00+00:00,265.17,198.62,98.91
2020-07-24 00:00:00+00:00,263.81,197.55,98.3
2020-07-27 00:00:00+00:00,265.31,198.72,98.43
2020-07-28 00:00:00+00:00,267.42,201.25,97.21
2020-07-29 00:00:00+00:00,265.28,196.24,96.27
2020-07-30 00:00:00+00:00,264.66,196.21,96.97
2020-07-31 00:00:00+00:00,266.31,195.41,96.82
